http://sfbay.craigslist.org/pen/apa/4457512434.html,$2695,594,949
http://sfbay.craigslist.org/pen/apa/4478611979.html,$2995,935,659
http://sfbay.craigslist.org/pen/apa/4479982841.html,$2695,832,1004
http://sfbay.craigslist.org/pen/apa/4482399015.html,$2695,784,772
http://sfbay.craigslist.org/pen/apa/4483009761.html,$2650,582,1290
http://sfbay.craigslist.org/pen/apa/4484136984.html,$2595,832,1004
http://sfbay.craigslist.org/pen/apa/4490775416.html,$2750,844,727
http://sfbay.craigslist.org/pen/apa/4491272290.html,$2695,784,772
http://sfbay.craigslist.org/pen/apa/4494128993.html,$2595,791,765
http://sfbay.craigslist.org/pen/apa/4495961375.html,$2695,782,774
http://sfbay.craigslist.org/pen/apa/4496346889.html,$2945,598,919
http://sfbay.craigslist.org/pen/apa/4496453253.html,$2395,890,764
http://sfbay.craigslist.org/pen/apa/4497657168.html,$2795,775,844
http://sfbay.craigslist.org/pen/apa/4497688699.html,$2700,1070,880
http://sfbay.craigslist.org/pen/apa/4500505879.html,$2695,784,772
http://sfbay.craigslist.org/pen/apa/4500589914.html,$2355,806,760
http://sfbay.craigslist.org/pen/apa/4500609185.html,$2750,841,724
http://sfbay.craigslist.org/pen/apa/4501620344.html,$2900,171,1041
http://sfbay.craigslist.org/pen/apa/4501874476.html,$2100,811,694
http://sfbay.craigslist.org/pen/apa/4502010946.html,$2250,550,1270
http://sfbay.craigslist.org/pen/apa/4502077502.html,$2145,851,805
http://sfbay.craigslist.org/pen/apa/4502512126.html,$2895,512,999
http://sfbay.craigslist.org/pen/apa/4502794452.html,$2395,890,764
http://sfbay.craigslist.org/pen/apa/4502823629.html,$2350,884,672
http://sfbay.craigslist.org/pen/apa/4502851832.html,$2800,342,1026
http://sfbay.craigslist.org/pen/apa/4502911768.html,$2795,775,844
http://sfbay.craigslist.org/pen/apa/4503813645.html,$2795,437,838
http://sfbay.craigslist.org/pen/apa/4504174131.html,$2145,851,805
http://sfbay.craigslist.org/pen/apa/4504543536.html,$2395,890,764
http://sfbay.craigslist.org/pen/apa/4505808231.html,$2499,813,767
http://sfbay.craigslist.org/pen/apa/4505828334.html,$2355,806,760
http://sfbay.craigslist.org/pen/apa/4505897585.html,$2695,296,981
http://sfbay.craigslist.org/pen/apa/4505913364.html,$3000,525,1245
http://sfbay.craigslist.org/pen/apa/4505994833.html,$2695,800,756
http://sfbay.craigslist.org/pen/apa/4505997179.html,$2795,584,1304
http://sfbay.craigslist.org/pen/apa/4507690160.html,$2499,813,767
http://sfbay.craigslist.org/pen/apa/4508004992.html,$2773,802,756
http://sfbay.craigslist.org/pen/apa/4508089230.html,$1995,869,663
http://sfbay.craigslist.org/pen/apa/4508091770.html,$2695,594,949
http://sfbay.craigslist.org/pen/apa/4508093883.html,$2195,788,742
http://sfbay.craigslist.org/pen/apa/4508380194.html,$2145,851,805
http://sfbay.craigslist.org/pen/apa/4508975632.html,$3000,525,1245
http://sfbay.craigslist.org/pen/apa/4509072246.html,$2795,775,844
http://sfbay.craigslist.org/pen/apa/4509208641.html,$2822,802,756
http://sfbay.craigslist.org/pen/apa/4509506462.html,$2350,821,1000
http://sfbay.craigslist.org/pen/apa/4509917387.html,$2700,878,824
http://sfbay.craigslist.org/pen/apa/4509919675.html,$2500,932,687
http://sfbay.craigslist.org/pen/apa/4510562222.html,$2795,775,844
http://sfbay.craigslist.org/pen/apa/4511670162.html,$2625,563,918
http://sfbay.craigslist.org/pen/apa/4511705622.html,$2575,797,974
http://sfbay.craigslist.org/pen/apa/4511713566.html,$2475,818,1003
http://sfbay.craigslist.org/pen/apa/4511841295.html,$2766,754,708
http://sfbay.craigslist.org/pen/apa/4511875437.html,$2400,649,960
http://sfbay.craigslist.org/pen/apa/4511954475.html,$2795,775,844
http://sfbay.craigslist.org/pen/apa/4512004364.html,$2445,829,617
http://sfbay.craigslist.org/pen/apa/4512040042.html,$2696,800,756
http://sfbay.craigslist.org/pen/apa/4512198017.html,$2855,898,543
http://sfbay.craigslist.org/pen/apa/4512431907.html,$2235,454,940
